period,year,month,column,dtype
2026-02,2026,2,mta_tax,double
2026-02,2026,2,tip_amount,double
2026-02,2026,2,tolls_amount,double
2026-02,2026,2,ehail_fee,double
2026-02,2026,2,improvement_surcharge,double
2026-02,2026,2,total_amount,double
2026-02,2026,2,payment_type,int64
2026-02,2026,2,trip_type,int64
2026-02,2026,2,congestion_surcharge,double
2026-02,2026,2,cbd_congestion_fee,double
2026-03,2026,3,VendorID,int32
2026-03,2026,3,lpep_pickup_datetime,timestamp[us]
2026-03,2026,3,lpep_dropoff_datetime,timestamp[us]
2026-03,2026,3,store_and_fwd_flag,large_string
2026-03,2026,3,RatecodeID,int64
2026-03,2026,3,PULocationID,int32
2026-03,2026,3,DOLocationID,int32
2026-03,2026,3,passenger_count,int64
2026-03,2026,3,trip_distance,double
2026-03,2026,3,fare_amount,double
2026-03,2026,3,extra,double
2026-03,2026,3,mta_tax,double
2026-03,2026,3,tip_amount,double
2026-03,2026,3,tolls_amount,double
2026-03,2026,3,ehail_fee,double
2026-03,2026,3,improvement_surcharge,double
2026-03,2026,3,total_amount,double
2026-03,2026,3,payment_type,int64
2026-03,2026,3,trip_type,int64
2026-03,2026,3,congestion_surcharge,double
2026-03,2026,3,cbd_congestion_fee,double
2026-04,2026,4,VendorID,int32
2026-04,2026,4,lpep_pickup_datetime,timestamp[us]
2026-04,2026,4,lpep_dropoff_datetime,timestamp[us]
2026-04,2026,4,store_and_fwd_flag,large_string
2026-04,2026,4,RatecodeID,int64
2026-04,2026,4,PULocationID,int32
2026-04,2026,4,DOLocationID,int32
2026-04,2026,4,passenger_count,int64
2026-04,2026,4,trip_distance,double
2026-04,2026,4,fare_amount,double
2026-04,2026,4,extra,double
2026-04,2026,4,mta_tax,double
2026-04,2026,4,tip_amount,double
2026-04,2026,4,tolls_amount,double
2026-04,2026,4,ehail_fee,double
2026-04,2026,4,improvement_surcharge,double
2026-04,2026,4,total_amount,double
2026-04,2026,4,payment_type,int64
2026-04,2026,4,trip_type,int64
2026-04,2026,4,congestion_surcharge,double
2026-04,2026,4,cbd_congestion_fee,double
